ID_TYPE,ID_VALUE,START_TIME,FINISH_TIME,DURATION
TASKID,task_201307250325_0001_m_000189,1374703133010,1374703154276,21266
TASKID,task_201307250325_0001_m_000188,1374703133009,1374703148178,15169
TASKID,task_201307250325_0001_m_000187,1374703133009,1374703154276,21267
TASKID,task_201307250325_0001_m_000186,1374703133009,1374703154275,21266
TASKID,task_201307250325_0001_m_000185,1374703133008,1374703154275,21267
TASKID,task_201307250325_0001_m_000184,1374703133008,1374703154274,21266
TASKID,task_201307250325_0001_m_000183,1374703133008,1374703154274,21266
TASKID,task_201307250325_0001_m_000182,1374703133007,1374703154273,21266
TASKID,task_201307250325_0001_m_000181,1374703133007,1374703154273,21266
TASKID,task_201307250325_0001_m_000180,1374703133006,1374703154272,21266
TASKID,task_201307250325_0001_m_000219,1374703136006,1374703157294,21288
TASKID,task_201307250325_0001_m_000218,1374703136006,1374703160387,24381
TASKID,task_201307250325_0001_m_000217,1374703136005,1374703157293,21288
TASKID,task_201307250325_0001_m_000216,1374703136005,1374703157292,21287
TASKID,task_201307250325_0001_m_000215,1374703136005,1374703157291,21286
TASKID,task_201307250325_0001_m_000214,1374703136004,1374703163439,27435
TASKID,task_201307250325_0001_m_000213,1374703136004,1374703157290,21286
TASKID,task_201307250325_0001_m_000212,1374703136004,1374703157289,21285
TASKID,task_201307250325_0001_m_000211,1374703136003,1374703157288,21285
TASKID,task_201307250325_0001_m_000210,1374703136003,1374703157287,21284
TASKID,task_201307250325_0001_m_000268,1374703154292,1374703176365,22073
TASKID,task_201307250325_0001_m_000269,1374703154292,1374703176366,22074
TASKID,task_201307250325_0001_m_000262,1374703154290,1374703176361,22071
TASKID,task_201307250325_0001_m_000263,1374703154290,1374703176362,22072
TASKID,task_201307250325_0001_m_000260,1374703154289,1374703176360,22071
TASKID,task_201307250325_0001_m_000261,1374703154290,1374703179396,25106
TASKID,task_201307250325_0001_m_000266,1374703154291,1374703179397,25106
TASKID,task_201307250325_0001_m_000267,1374703154292,1374703176365,22073
TASKID,task_201307250325_0001_m_000264,1374703154291,1374703176363,22072
TASKID,task_201307250325_0001_m_000265,1374703154291,1374703176364,22073
TASKID,task_201307250325_0001_r_000021,1374703145125,1374704542432,1397307
TASKID,task_201307250325_0001_r_000020,1374703142137,1374704289421,1147284
TASKID,task_201307250325_0001_r_000023,1374703148148,1374704618654,1470506
TASKID,task_201307250325_0001_r_000022,1374703145154,1374704527969,1382815
TASKID,task_201307250325_0001_r_000025,1374703151172,1374704341798,1190626
TASKID,task_201307250325_0001_r_000024,1374703148182,1374704485265,1337083
TASKID,task_201307250325_0001_r_000027,1374703154225,1374704456566,1302341
TASKID,task_201307250325_0001_r_000026,1374703151213,1374704600213,1449000
TASKID,task_201307250325_0001_r_000029,1374703157314,1374704579358,1422044
TASKID,task_201307250325_0001_r_000028,1374703154299,1374704521952,1367653
TASKID,task_201307250325_0001_m_000320,1374704642819,1374704654837,12018
TASKID,task_201307250325_0001_m_000037,1374703090388,1374703111699,21311
TASKID,task_201307250325_0001_m_000036,1374703090387,1374703111698,21311
TASKID,task_201307250325_0001_m_000035,1374703090387,1374703111697,21310
TASKID,task_201307250325_0001_m_000034,1374703090386,1374703111697,21311
TASKID,task_201307250325_0001_m_000033,1374703090386,1374703111696,21310
TASKID,task_201307250325_0001_m_000032,1374703090385,1374703111695,21310
TASKID,task_201307250325_0001_m_000031,1374703090385,1374703111694,21309
TASKID,task_201307250325_0001_m_000030,1374703090385,1374703111694,21309
TASKID,task_201307250325_0001_m_000039,1374703090389,1374703111700,21311
TASKID,task_201307250325_0001_m_000038,1374703090388,1374703111699,21311
TASKID,task_201307250325_0001_m_000042,1374703093299,1374703114663,21364
TASKID,task_201307250325_0001_m_000043,1374703093300,1374703114665,21365
TASKID,task_201307250325_0001_m_000040,1374703093296,1374703114659,21363
TASKID,task_201307250325_0001_m_000041,1374703093298,1374703114661,21363
TASKID,task_201307250325_0001_m_000046,1374703093303,1374703114671,21368
TASKID,task_201307250325_0001_m_000047,1374703093304,1374703114673,21369
TASKID,task_201307250325_0001_m_000044,1374703093301,1374703114667,21366
TASKID,task_201307250325_0001_m_000045,1374703093302,1374703114669,21367
TASKID,task_201307250325_0001_m_000048,1374703093305,1374703108572,15267
TASKID,task_201307250325_0001_m_000049,1374703093306,1374703114674,21368
TASKID,task_201307250325_0001_r_000065,1374703225991,1374704636759,1410768
TASKID,task_201307250325_0001_r_000064,1374703225753,1374704597206,1371453
TASKID,task_201307250325_0001_r_000067,1374703229980,1374704473236,1243256
TASKID,task_201307250325_0001_r_000066,1374703229047,1374704627693,1398646
TASKID,task_201307250325_0001_r_000061,1374703219939,1374704582369,1362430
TASKID,task_201307250325_0001_r_000060,1374703217371,1374704588176,1370805
TASKID,task_201307250325_0001_r_000063,1374703222961,1374704582370,1359409
TASKID,task_201307250325_0001_r_000062,1374703221271,1374704630285,1409014
TASKID,task_201307250325_0001_r_000069,1374703234771,1374704540043,1305272
TASKID,task_201307250325_0001_r_000068,1374703232091,1374704503206,1271115
TASKID,task_201307250325_0001_m_000253,1374703154287,1374703176354,22067
TASKID,task_201307250325_0001_m_000252,1374703154287,1374703170101,15814
TASKID,task_201307250325_0001_m_000251,1374703154286,1374703125990,-28296
TASKID,task_201307250325_0001_m_000250,1374703154224,1374703145865,-8359
TASKID,task_201307250325_0001_m_000257,1374703154288,1374703176358,22070
TASKID,task_201307250325_0001_m_000256,1374703154288,1374703176357,22069
TASKID,task_201307250325_0001_m_000255,1374703154288,1374703176356,22068
TASKID,task_201307250325_0001_m_000254,1374703154287,1374703176355,22068
TASKID,task_201307250325_0001_m_000259,1374703154289,1374703176359,22070
TASKID,task_201307250325_0001_m_000258,1374703154289,1374703179395,25106
TASKID,task_201307250325_0001_m_000138,1374703114720,1374703135988,21268
TASKID,task_201307250325_0001_m_000139,1374703114720,1374703135988,21268
TASKID,task_201307250325_0001_m_000136,1374703114719,1374703135987,21268
TASKID,task_201307250325_0001_m_000137,1374703114719,1374703135987,21268
TASKID,task_201307250325_0001_m_000134,1374703114718,1374703135985,21267
TASKID,task_201307250325_0001_m_000135,1374703114718,1374703135986,21268
TASKID,task_201307250325_0001_m_000132,1374703114717,1374703135984,21267
TASKID,task_201307250325_0001_m_000133,1374703114718,1374703135985,21267
TASKID,task_201307250325_0001_m_000130,1374703114716,1374703135981,21265
TASKID,task_201307250325_0001_m_000131,1374703114717,1374703135982,21265
